序号&省份&城市&城市编码&全拼&首拼
1&直辖市&北京&110000&bei jing&bj
2&直辖市&天津&120000&tian jin&tj
3&直辖市&上海&310100&shang hai&sh
4&直辖市&重庆&500000&chong qing&cq
5&安徽省&合肥&340100&he fei&hf
6&安徽省&宿州&341300&su zhou&sz
7&安徽省&淮北&340600&huai bei&hb
8&安徽省&阜阳&341200&fu yang&fy
9&安徽省&蚌埠&340300&bang bu&bb
10&安徽省&淮南&340400&huai nan&hn
11&安徽省&滁州&341100&chu zhou&cz
12&安徽省&马鞍山&340500&ma an shan&mas
13&安徽省&芜湖&340200&wu hu&wh
14&安徽省&铜陵&340700&tong ling&tl
15&安徽省&安庆&340800&an qing&aq
16&安徽省&黄山&341000&huang shan&hs
17&安徽省&六安&341500&liu an&la
18&安徽省&池州&341700&chi zhou&cz
19&安徽省&宣城&341800&xuan cheng&xc
20&安徽省&亳州&341600&bozhou&bz
21&安徽省&界首&341282&jie shou&js
22&安徽省&明光&341182&ming guang&mg
23&安徽省&天长&341181&tian chang&tc
24&安徽省&桐城&340881&tong cheng&tc
25&安徽省&宁国&341881&ning guo&ng
26&安徽省&巢湖&341400&chao hu&ch
27&福建省&厦门&350200&xia men&xm
28&福建省&福州&350100&fu zhou&fz
29&福建省&南平&350700&nan ping&np
30&福建省&三明&350400&san ming&sm
31&福建省&莆田&350300&pu tian&pt
32&福建省&泉州&350500&quan zhou&qz
33&福建省&漳州&350600&zhang zhou&zz
34&福建省&龙岩&350800&long yan&ly
35&福建省&宁德&350900&ning de&nd
36&福建省&福清&350181&fu qing&fq
37&福建省&长乐&350182&chang le&cl
38&福建省&邵武&350781&shao wu&sw
39&福建省&武夷山&350782&wu yi shan&wys
40&福建省&建瓯&350783&jian ou&jo
41&福建省&建阳&350784&jian yang&jy
42&福建省&永安&350481&yong an&ya
43&福建省&石狮&350581&shi shi&ss
44&福建省&晋江&350582&jin jiang&jj
45&福建省&南安&350583&nan an&na
46&福建省&龙海&350581&long hai&lh
47&福建省&漳平&350881&zhang ping&zp
48&福建省&福安&350981&fu an&fa
49&福建省&福鼎&350982&fu ding&fd
50&甘肃省&兰州&620100&lan zhou&lz
51&甘肃省&嘉峪关&620200&jia yu guan&jyg
52&甘肃省&金昌&620300&jin chang&jc
53&甘肃省&白银&620400&bai yin&by
54&甘肃省&天水&620500&tian shui&ts
55&甘肃省&酒泉&620900&jiu quan&jq
56&甘肃省&张掖&620700&zhang ye&zy
57&甘肃省&武威&620600&wu wei&ww
58&甘肃省&庆阳&621000&qing yang&qy
59&甘肃省&平凉&620800&ping liang&pl
60&甘肃省&定西&621100&ding xi&dx
61&甘肃省&陇南&621200&long nan&ln
62&甘肃省&玉门&620981&yu men&ym
63&甘肃省&敦煌&620982&dun huang&dh
64&甘肃省&临夏&622900&lin xia&lx
65&甘肃省&合作&623001&he zuo&hz
66&广东省&广州&440100&guang zhou&gz
67&广东省&深圳&440300&shen zhen&sz
68&广东省&清远&441800&qing yuan&qy
69&广东省&韶关&440200&shao guan&sg
70&广东省&河源&441600&he yuan&hy
71&广东省&梅州&441400&mei zhou&mz
72&广东省&潮州&445100&chao zhou&cz
73&广东省&汕头&440500&shan tou&st
74&广东省&揭阳&445200&jie yang&jy
75&广东省&汕尾&441500&shan wei&sw
76&广东省&惠州&441300&hui zhou&hz
77&广东省&东莞&441900&dong guan&dg
78&广东省&珠海&440400&zhu hai&zh
79&广东省&中山&210202&zhong shan&zs
80&广东省&江门&440700&jiang men&jm
81&广东省&佛山&440600&fo shan&fs
82&广东省&肇庆&441200&zhao qing&zq
83&广东省&云浮&445300&yun fu&yf
84&广东省&阳江&441700&yang jiang&yj
85&广东省&茂名&440900&mao ming&mm
86&广东省&湛江&440800&zhan jiang&zj
87&广东省&从化&440184&cong hua&ch
88&广东省&增城&440183&zeng cheng&zc
89&广东省&英德&441881&ying de&yd
90&广东省&连州&441882&lian zhou&lz
91&广东省&乐昌&440281&le chang&lc
92&广东省&南雄&440282&nan xiong&nx
93&广东省&兴宁&441481&xing ning&xn
94&广东省&普宁&445281&pu ning&pn
95&广东省&陆丰&441581&lu feng&lf
96&广东省&恩平&440785&en ping&ep
97&广东省&台山&440781&tai shan&ts
98&广东省&开平&130205&kai ping&kp
99&广东省&鹤山&410602&he shan&hs
100&广东省&高要&441283&gao yao&gy
101&广东省&四会&441284&si hui&sh
102&广东省&罗定&445381&luo ding&ld
103&广东省&阳春&441781&yang chun&yc
104&广东省&化州&440982&hua zhou&hz
105&广东省&信宜&440983&xin yi&xy
106&广东省&高州&440981&gao zhou&gz
107&广东省&吴川&440883&wu chuan&wc
108&广东省&廉江&440881&lian jiang&lj
109&广东省&雷州&440882&lei zhou&lz
110&贵州省&贵阳&520100&gui yang&gy
111&贵州省&六盘水&520200&liu pan shui&lps
112&贵州省&遵义&520300&zun yi&zy
113&贵州省&安顺&520400&an shun&as
114&贵州省&毕节&522400&bi jie&bj
115&贵州省&铜仁&522200&tong ren&tr
116&贵州省&清镇&520181&qing zhen&qz
117&贵州省&赤水&520381&chi shui&cs
118&贵州省&仁怀&520382&ren huai&rh
119&贵州省&凯里&522601&kai li&kl
120&贵州省&都匀&522701&du yun&dy
121&贵州省&兴义&522301&xing yi&xy
122&贵州省&黔南布依族苗族自治区&522700&qian nan bu yi zu miao zu zi zhi qu&qnbyzmzzzq
123&贵州省&遵义县南白镇&520321&zun yi xian nan bai zhen&zyxnbz
124&贵州省&福泉&522702&fu quan&fq
125&河北省&石家庄&130100&shi jia zhuang&sjz
126&河北省&邯郸&130400&han dan&hd
127&河北省&唐山&130200&tang shan&ts
128&河北省&保定&130600&bao ding&bd
129&河北省&秦皇岛&130300&qin huang dao&qhd
